Date,Open,High,Low,Close,Volume,Adj,Close,id
1984-01-04,9927,9927,9927,9927,0,9927,,1
1984-01-05,9947,9947,9947,9947,0,9947,,2
1984-01-06,9961,9961,9961,9961,0,9961,,3
1984-01-09,9954,9954,9954,9954,0,9954,,4
1984-01-10,10016,10016,10016,10016,0,10016,,5
1984-01-11,10073,10073,10073,10073,0,10073,,6
1984-01-12,10104,10104,10104,10104,0,10104,,7
1984-01-13,10151,10151,10151,10151,0,10151,,8
1984-01-17,10156,10156,10156,10156,0,10156,,9
1984-01-18,10100,10100,10100,10100,0,10100,,10
1984-01-19,10098,10098,10098,10098,0,10098,,11
1984-01-20,10104,10104,10104,10104,0,10104,,12
1984-01-23,10071,10071,10071,10071,0,10071,,13
1984-01-24,10023,10023,10023,10023,0,10023,,14
1984-01-25,10115,10115,10115,10115,0,10115,,15
1984-01-26,10180,10180,10180,10180,0,10180,,16
1984-01-27,10181,10181,10181,10181,0,10181,,17
1984-01-30,10236,10236,10236,10236,0,10236,,18
1984-01-31,10196,10196,10196,10196,0,10196,,19
1984-02-01,10201,10201,10201,10201,0,10201,,20
1984-02-02,10156,10156,10156,10156,0,10156,,21
1984-02-03,10134,10134,10134,10134,0,10134,,22
1984-02-06,10121,10121,10121,10121,0,10121,,23
1984-02-07,10061,10061,10061,10061,0,10061,,24
1984-02-08,10100,10100,10100,10100,0,10100,,25
1984-02-09,10002,10002,10002,10002,0,10002,,26
1984-02-10,9959,9959,9959,9959,0,9959,,27
1984-02-13,9963,9963,9963,9963,0,9963,,28
1984-02-14,9830,9830,9830,9830,0,9830,,29
1984-02-15,9892,9892,9892,9892,0,9892,,30
1984-02-16,9897,9897,9897,9897,0,9897,,31
1984-02-17,9925,9925,9925,9925,0,9925,,32
1984-02-20,9938,9938,9938,9938,0,9938,,33
1984-02-21,9971,9971,9971,9971,0,9971,,34
1984-02-22,9948,9948,9948,9948,0,9948,,35
1984-02-23,9940,9940,9940,9940,0,9940,,36
1984-02-24,9963,9963,9963,9963,0,9963,,37
1984-02-27,10071,10071,10071,10071,0,10071,,38
1984-02-28,10074,10074,10074,10074,0,10074,,39
1984-02-29,10031,10031,10031,10031,0,10031,,40
1984-03-01,9920,9920,9920,9920,0,9920,,41
1984-03-02,9948,9948,9948,9948,0,9948,,42
1984-03-05,10089,10089,10089,10089,0,10089,,43
1984-03-06,10059,10059,10059,10059,0,10059,,44
1984-03-07,10021,10021,10021,10021,0,10021,,45
1984-03-08,9959,9959,9959,9959,0,9959,,46
1984-03-09,9997,9997,9997,9997,0,9997,,47
1984-03-12,10087,10087,10087,10087,0,10087,,48
